NUMBER,TITLE,DURATION,LINK
57,4:NPM-Node.js,35:07:00,https://www.youtube.com//watch?v=iCw6lBEA3EA
58,5: NPM Scripts - Task Runners - Node.JS,32:48:00,https://www.youtube.com//watch?v=XnqMzd405H8
59,6: Core Modules Except Web Module (http),33:41:00,https://www.youtube.com//watch?v=nqVwthSc3wA
60,7: Web Module (http) - Node.JS,30:39:00,https://www.youtube.com//watch?v=mLkuk5OnOzM
61,8: Express Framework Overview,38:15:00,https://www.youtube.com//watch?v=WCKAP7dtq1M
62,9: REST Full API Part -1,01:06:29,https://www.youtube.com//watch?v=NZeAZMH1KV8
63,10: REST Full API Part-II,16:02,https://www.youtube.com//watch?v=kbcYZDtAkDM
64,JS 1: Java Script Introduction - Variables - Data types,43:08:00,https://www.youtube.com//watch?v=NfSdVpuEOOg
65,"JS 2: Java Script - Operators, conditional statements, loops and pop up boxes",46:34:00,https://www.youtube.com//watch?v=5_w8C-aUCwY
66,"JS 3: Java Script - Functions - Arrow functions, Anonymous functions",29:12:00,https://www.youtube.com//watch?v=JmQ87uiHy6A
67,DTD Part 1,49:53:00,https://www.youtube.com//watch?v=2lErrSjaNYg
68,"JS 4 : Various type of Objects- Objects and Array's- forEach(),map(), reduce(),filter(), flat() etc.",01:05:10,https://www.youtube.com//watch?v=4XFvITVujCI
69,JS 5: Date Object - Display of Digital clock on a web page.,42:03:00,https://www.youtube.com//watch?v=9DRhZrwg7TA
70,JS 6: Regular Expressions - Examples- India and USA mobile number validator - Email validator - Reg.,54:09:00,https://www.youtube.com//watch?v=G7HRHsq1hPg
71,JS 7:HTML DOM,34:48:00,https://www.youtube.com//watch?v=SXD1maFXaL8
72,JS 8: Java Script Validations,34:52:00,https://www.youtube.com//watch?v=VGpw-3_tbow
73,JS 9: Java Script Events,22:36,https://www.youtube.com//watch?v=DxDjhreKCbc
74,JS 10: DOM Traversing,28:05:00,https://www.youtube.com//watch?v=Vka_Ow2PqIY
75,JS 11: DOM Real time example,34:58:00,https://www.youtube.com//watch?v=uVyYogwgi0M
76,Git and GitHub - Part -1,47:08:00,https://www.youtube.com//watch?v=Mt2PcX4P7qY
77,Git Installation (Local Repository) and Git commands - Part 2,36:05:00,https://www.youtube.com//watch?v=PaNrERuOimo
78,Git Push and Pull - Part 3,45:08:00,https://www.youtube.com//watch?v=xAnNFq0Ee38
79,Git Collaborator - Push and Pull - Part 4,22:39,https://www.youtube.com//watch?v=-L1nfttoS5U
80,SQL Introduction - RGUKT - Web Technologies,34:01:00,https://www.youtube.com//watch?v=GHK26axw2Fk
81,2 - SQL Commands,43:31:00,https://www.youtube.com//watch?v=yZ2BtOlVIlc
82,"SQL Commands - DDL, DML, DQL, TCL and DCL with hands on practice.",01:42:23,https://www.youtube.com//watch?v=z2dU_BKFDjQ
83,NoSQL  Introduction - Features - Misconceptions - SQL vs NoSQL - Different types of NoSQL - Mongo DB,38:40:00,https://www.youtube.com//watch?v=Lm7NWvr1ujg
84,NoSQL - MongoDB Installation -Mongo DB Queries vs MySQL Queries ( Practical) - CRUD Operations.,01:06:23,https://www.youtube.com//watch?v=iM85XH2RrRs
85,1: Xampp installation - RGUKT,04:51,https://www.youtube.com//watch?v=mLDQJV9axN0
86,2: PHP Introduction - need - variables - Data types - array's - Form Controls  - Practical,01:01:41,https://www.youtube.com//watch?v=dcNDmCSjib4
87,INDIAN Flag using HTML - Happy Independence Day to All  #Indianflag #htmlcode #flagdesign #cse,01:25,https://www.youtube.com//watch?v=4jKOkYCDK2M
88,3: File Inclusion and File System,44:40:00,https://www.youtube.com//watch?v=evwGiIdHHqk
89,4: Parsing of directories and File Upload,41:36:00,https://www.youtube.com//watch?v=sqDSjBZX-5g
